Unnamed: 0,TICKER,Year,Avg_Annual_PE
8,ADVANC,2023,23.676872427983536
18,AOT,2023,79.65205761316872
24,AWC,2023,35.96
34,BBL,2023,9.392716049382717
44,BCP,2023,5.160411522633745
54,BDMS,2023,35.11069958847737
63,BEM,2023,48.63016460905349
71,BGRIM,2023,6414.188806584361
81,BH,2023,33.1758024691358
91,BJC,2023,27.570987654320987
101,BTS,2023,110.99197530864195
111,CBG,2023,41.937572016460905
121,CENTEL,2023,294.2059259259259
131,CPALL,2023,37.55930041152264
141,CPF,2023,21.739382716049384
151,CPN,2023,26.12650205761317
156,CRC,2023,33.1398353909465
166,DELTA,2023,73.4043621399177
176,EA,2023,28.764855967078187
186,EGCO,2023,48.62744855967078
196,GLOBAL,2023,28.21617283950617
206,GPSC,2023,113.5364609053498
214,GULF,2023,48.24666666666667
224,HMPRO,2023,28.15506172839506
234,INTUCH,2023,21.73053497942387
237,ITC,2023,19.610000000000003
247,IVL,2023,4.708148148148148
257,KBANK,2023,8.603374485596708
267,KTB,2023,7.437818930041152
277,KTC,2023,18.439794238683128
287,LH,2023,13.838888888888889
297,MINT,2023,56.31864197530864
307,MTC,2023,16.845637860082302
311,OR,2023,28.604567901234567
318,OSP,2023,41.22534979423868
328,PTT,2023,10.714156378600824
338,PTTEP,2023,8.337037037037037
348,PTTGC,2023,0.0
358,RATCH,2023,13.521810699588478
361,SCB,2023,9.067489711934156
371,SCC,2023,14.385473251028808
376,SCGP,2023,33.15205761316872
380,TIDLOR,2023,17.831522633744857
390,TISCO,2023,10.925843621399178
393,TLI,2023,15.697201646090535
403,TOP,2023,7.921481481481481
405,TRUE,2023,0.0
415,TTB,2023,9.905349794238685
425,TU,2023,10.533456790123456
435,WHA,2023,16.984485596707817
